WIC_ID,Job_Title,Posting_Date,Province,Technology
15293390,marketing data analyst,2026-03-01,Ontario,Database management
15293390,marketing data analyst,2026-03-01,Ontario,Enterprise resource planning (ERP) software
15306899,data scientist,2026-03-06,Québec,Linux
15306899,data scientist,2026-03-06,Québec,Internet
15306899,data scientist,2026-03-06,Québec,Data Analysis Software
15306899,data scientist,2026-03-06,Québec,Programming Languages
15306899,data scientist,2026-03-06,Québec,Machine Learning
15306899,data scientist,2026-03-06,Québec,Software Development
15306899,data scientist,2026-03-06,Québec,Jira
15306899,data scientist,2026-03-06,Québec,C++
15306899,data scientist,2026-03-06,Québec,Windows
15306899,data scientist,2026-03-06,Québec,Linux - PSOS
15323256,data scientist,2026-03-12,Ontario,Linux
15323256,data scientist,2026-03-12,Ontario,SASS
15323256,data scientist,2026-03-12,Ontario,Programming Software
15323256,data scientist,2026-03-12,Ontario,Data Warehouse
15323256,data scientist,2026-03-12,Ontario,MySQL
15323256,data scientist,2026-03-12,Ontario,Android
15323309,data analyst - informatics and systems,2026-03-13,Ontario,Linux
15323309,data analyst - informatics and systems,2026-03-13,Ontario,SASS
15323309,data analyst - informatics and systems,2026-03-13,Ontario,Programming Software
15323309,data analyst - informatics and systems,2026-03-13,Ontario,Data Warehouse
15323309,data analyst - informatics and systems,2026-03-13,Ontario,MySQL
15323309,data analyst - informatics and systems,2026-03-13,Ontario,Android
15323259,data analyst - informatics and systems,2026-03-13,Ontario,Linux
15323259,data analyst - informatics and systems,2026-03-13,Ontario,SASS
15323259,data analyst - informatics and systems,2026-03-13,Ontario,Programming Software
15323259,data analyst - informatics and systems,2026-03-13,Ontario,Data Warehouse
15323259,data analyst - informatics and systems,2026-03-13,Ontario,MySQL
15355332,business data analyst,2026-03-25,Ontario,Networking Software
15355332,business data analyst,2026-03-25,Ontario,Cloud
15355332,business data analyst,2026-03-25,Ontario,Informatica
15355332,business data analyst,2026-03-25,Ontario,MS Office
15355332,business data analyst,2026-03-25,Ontario,Network Security
15355332,business data analyst,2026-03-25,Ontario,Software Development
15355332,business data analyst,2026-03-25,Ontario,Agile
15355332,business data analyst,2026-03-25,Ontario,Database Software
15355332,business data analyst,2026-03-25,Ontario,Intranet
15355332,business data analyst,2026-03-25,Ontario,Spreadsheet Software
15376895,data scientist,2026-04-03,New Brunswick,Mapping and data visualization software
15376895,data scientist,2026-04-03,New Brunswick,Data Analysis Software
15376895,data scientist,2026-04-03,New Brunswick,Machine Learning
15376895,data scientist,2026-04-03,New Brunswick,SQL
15376895,data scientist,2026-04-03,New Brunswick,Python
15376895,data scientist,2026-04-03,New Brunswick,Big Data
15507639,data analyst - informatics and systems,2026-04-29,Alberta,Mapping and data visualization software
15507639,data analyst - informatics and systems,2026-04-29,Alberta,Data Analysis Software
15507639,data analyst - informatics and systems,2026-04-29,Alberta,AWS
15507639,data analyst - informatics and systems,2026-04-29,Alberta,Machine Learning
15507639,data analyst - informatics and systems,2026-04-29,Alberta,MS Office
15507639,data analyst - informatics and systems,2026-04-29,Alberta,Spreadsheet Software
15507639,data analyst - informatics and systems,2026-04-29,Alberta,DB2
15507639,data analyst - informatics and systems,2026-04-29,Alberta,Windows
15507639,data analyst - informatics and systems,2026-04-29,Alberta,MySQL
15507639,data analyst - informatics and systems,2026-04-29,Alberta,Microsoft Visual Studio
15553278,data analyst - informatics and systems,2026-05-15,Québec,Progress
15553278,data analyst - informatics and systems,2026-05-15,Québec,SQL
15553278,data analyst - informatics and systems,2026-05-15,Québec,Python
15553278,data analyst - informatics and systems,2026-05-15,Québec,MS SQL Server
15553278,data analyst - informatics and systems,2026-05-15,Québec,Java
15559130,data analyst - informatics and systems,2026-05-19,Ontario,Oracle
15559130,data analyst - informatics and systems,2026-05-19,Ontario,Informix
15601241,business data analyst,2026-06-02,Ontario,C++
15601241,business data analyst,2026-06-02,Ontario,Java
15601241,business data analyst,2026-06-02,Ontario,C
15601241,business data analyst,2026-06-02,Ontario,Python
15644785,data analyst - informatics and systems,2026-06-17,British Columbia,Data Analysis Software
15644785,data analyst - informatics and systems,2026-06-17,British Columbia,AWS
15644785,data analyst - informatics and systems,2026-06-17,British Columbia,Business intelligence
15644785,data analyst - informatics and systems,2026-06-17,British Columbia,Python
15644785,data analyst - informatics and systems,2026-06-17,British Columbia,Data analysis and interpretation
15704901,data analyst - informatics and systems,2026-07-10,Ontario,SASS
15704901,data analyst - informatics and systems,2026-07-10,Ontario,Programming Software
15704901,data analyst - informatics and systems,2026-07-10,Ontario,Data Warehouse
15704901,data analyst - informatics and systems,2026-07-10,Ontario,Database Software
15704901,data analyst - informatics and systems,2026-07-10,Ontario,SQL
15704901,data analyst - informatics and systems,2026-07-10,Ontario,Spreadsheet Software
